name,iso3,col
Aruba,ABW,0.755766011715452
Afghanistan,AFG,0.187924599142549
Angola,AGO,0.25420408368423
Albania,ALB,0.426242583891839
Andorra,AND,0.657913251334808
United Arab Emirates,ARE,0.633379476186693
Argentina,ARG,0.459252952324262
Armenia,ARM,0.372454907754803
Antigua and Barbuda,ATG,0.706075246261648
Australia,AUS,0.904685699150737
Austria,AUT,0.793561311610156
Azerbaijan,AZE,0.290320462922242
Burundi,BDI,0.162060021532261
Belgium,BEL,0.77578970669375
Benin,BEN,0.334955165074581
Burkina Faso,BFA,0.340903828484538
Bangladesh,BGD,0.268837768070326
Bulgaria,BGR,0.4238008767789
Bahrain,BHR,0.447072988756715
"Bahamas, The",BHS,0.957704859941285
Bosnia and Herzegovina,BIH,0.407687962807694
Belarus,BLR,0.251970634880616
Belize,BLZ,0.558523951168835
Bermuda,BMU,1.16051287468875
Bolivia,BOL,0.357576486600968
Brazil,BRA,0.460310991307034
Barbados,BRB,1.11881856875097
Brunei Darussalam,BRN,0.37128008938419
Bhutan,BTN,0.236213735423582
Botswana,BWA,0.374680718683303
Central African Republic,CAF,0.408493388159423
Canada,CAN,0.829209407315147
Switzerland,CHE,1.10500213434747
Chile,CHL,0.482427260913473
China,CHN,0.490802871328148
Cote d'Ivoire,CIV,0.354074959252478
Cameroon,CMR,0.31518724604248
"Congo, Dem. Rep.",COD,0.378676702305602
"Congo, Rep.",COG,0.353276551769341
Colombia,COL,0.368184935505917
Comoros,COM,0.439965446573707
Cabo Verde,CPV,0.468208125935559
Costa Rica,CRI,0.618276502042365
Curacao,CUW,0.685702386710117
Cayman Islands,CYM,1.12758564943812
Cyprus,CYP,0.631192141901947
Czechia,CZE,0.558159711703434
Germany,DEU,0.771785981339844
Djibouti,DJI,0.449635987613259
Dominica,DMA,0.488495033908811
Denmark,DNK,0.903633300822227
Dominican Republic,DOM,0.394887235562355
Algeria,DZA,0.320814243473809
Ecuador,ECU,0.434001889105821
"Egypt, Arab Rep.",EGY,0.174842797290911
Eritrea,ERI,0.327593959979157
Spain,ESP,0.62004814580625
Estonia,EST,0.631820115784375
Ethiopia,ETH,0.355395704781275
Finland,FIN,0.829889247282812
Fiji,FJI,0.392234138485297
France,FRA,0.752596458009375
Faroe Islands,FRO,0.918239508647189
"Micronesia, Fed. Sts.",FSM,0.958535327301982
Gabon,GAB,0.382098810442597
United Kingdom,GBR,0.868301814037804
Georgia,GEO,0.323518331311726
Ghana,GHA,0.29970651378752
Guinea,GIN,0.374969421686967
"Gambia, The",GMB,0.263703723737776
Guinea-Bissau,GNB,0.31545399938099
Equatorial Guinea,GNQ,0.383986581563199
Greece,GRC,0.56159960049375
Grenada,GRD,0.588659410738755
Greenland,GRL,0.74199049623215
Guatemala,GTM,0.428016664360055
Guyana,GUY,0.373986055631768
"Hong Kong SAR, China",HKG,0.719357810021912
Honduras,HND,0.457711231077315
Croatia,HRV,0.492665780574879
Haiti,HTI,0.673048795184316
Hungary,HUN,0.489352640778071
Indonesia,IDN,0.299449658545769
India,IND,0.241660782871889
Ireland,IRL,0.81811511254375
"Iran, Islamic Rep.",IRN,0.258730870482092
Iraq,IRQ,0.419902966217353
Iceland,ISL,1.05680001555754
Israel,ISR,0.972813169852793
Italy,ITA,0.661101754605469
Jamaica,JAM,0.601915527123262
Jordan,JOR,0.42675227794403
Japan,JPN,0.628342229841439
Kazakhstan,KAZ,0.3431586391838
Kenya,KEN,0.333285310606942
Kyrgyz Republic,KGZ,0.30205293262074
Cambodia,KHM,0.329724164059551
Kiribati,KIR,0.618161279313983
St. Kitts and Nevis,KNA,0.640639757787667
"Korea, Rep.",KOR,0.615309303016412
Kuwait,KWT,0.623864886937615
Lao PDR,LAO,0.217001576503415
Lebanon,LBN,0.276562314812753
Liberia,LBR,0.448974198927997
Libya,LBY,0.452808842974599
St. Lucia,LCA,0.514436157724174
Sri Lanka,LKA,0.288855983264743
Lesotho,LSO,0.324103456907736
Lithuania,LTU,0.540050487741406
Luxembourg,LUX,0.912080890557812
Latvia,LVA,0.532692465314844
"Macao SAR, China",MAC,0.56948813020233
Morocco,MAR,0.38751734897633
Moldova,MDA,0.406994399568173
Madagascar,MDG,0.289347742011817
Maldives,MDV,0.497897052946394
Mexico,MEX,0.551148061350708
Marshall Islands,MHL,0.910775486898073
North Macedonia,MKD,0.35017018627986
Mali,MLI,0.328281873238181
Malta,MLT,0.628629576181048
Myanmar,MMR,0.226639017809265
Montenegro,MNE,0.387523442632679
